Abbrev,Project Name,River,Longitude,Latitude
ALF,Albeni Falls Forebay and Dam,Pend Oreille,-116.997745,48.178294
BON,Bonneville Forebay and Dam,Columbia,-121.9405556,45.64416667
CCIW,Cascade Island (below BON),Columbia,-121.9406632,45.64850345
CIBW,Boundary (US/Canada),Columbia,-117.6283333,49.00083333
CHJ,Chief Joseph Forebay and Dam,Columbia,-119.6333333,47.99527778
CHQW,Chief Joseph Tailrace,Columbia,-119.6333333,47.99527778
CWMW,Camas/Washougal WA,Columbia,-122.378253,45.577046
DWR,Dworshak Forebay,NF Clearwater,-116.297014,46.516351
DWQI,Dworshak Tailrace,NF Clearwater,-116.297014,46.516351
GCL,Grand Coulee Forebay and Dam,Columbia,-118.98095,47.954652
GCGW,Grand Coulee Downstream,Columbia,-118.98095,47.954652
HGH,Hungry Horse Forebay and Dam,SF Flathead,-114.010417,48.339662
HGHM,Hungry Horse Tailrace,SF Flathead,-114.010417,48.339662
IHR,Ice Harbor Forebay and Dam,Snake,-118.88,46.25
IDSW,Ice Harbor Tailrace,Snake,-118.88,46.25
JDA,John Day Forebay and Dam,Columbia,-120.6944444,45.71638889
JHAW,John Day Tailrace,Columbia,-120.6944444,45.71638889
LEWI,Lewiston ID,Clearwater,-117.001164,46.418791
LIB,Libby Forebay and Dam,Kootenai,-115.31354,48.411432
LGS,Little Goose Forebay and Dam,Snake,-118.028,46.587
LGSW,Little Goose Tailrace,Snake,-118.028,46.587
LWG,Lower Granite Forebay and Dam,Snake,-117.4280556,46.66461538
LGNW,Lower Granite Tailrace,Snake,-117.4280556,46.66461538
LMN,Lower Monumental Forebay and Dam,Snake,-118.539,46.563
LMNW,Lower Monumental Tailrace,Snake,-118.539,46.563
MCN,McNary Forebay and Dam (Washington),Columbia,-119.2961111,45.92972222
MCPW,McNary Tailrace,Columbia,-119.2961111,45.92972222
PAQW,Pasco WA,Columbia,-119.134932,46.224483
PRD,Priest Rapids Forebay and Dam,Columbia,-119.9094884,46.6431876
PRXW,Priest Rapids Downstream,Columbia,-119.9094884,46.6431876
RIS,Rock Island Forebay and Dam,Columbia,-120.094773,47.342155
RIGW,Rock Island Tailrace,Columbia,-120.094773,47.342155
RRH,Rocky Reach Forebay and Dam,Columbia,-120.2955556,47.53333333
RRDW,Rocky Reach Tailrace,Columbia,-120.2955556,47.53333333
TDA,The Dalles Forebay and Dam,Columbia,-121.1344444,45.61222222
TDDO,The Dalles Tailrace,Columbia,-121.1344444,45.61222222
WAN,Wanapum Forebay and Dam,Columbia,-119.971004,46.875213
WANW,Wanapum Downstream,Columbia,-119.971004,46.875213
WRNO,Warrendale OR,Columbia,-122.017701,45.615194
WEL,Wells Forebay and Dam,Columbia,-119.866,47.9454
WELW,Wells Tailrace,Columbia,-119.866,47.9454
WFF,Willamette Falls (Sullivan Project),Willamette,-122.6193518,45.35171201